# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: ma_fetch.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
              76   N   0000a0fc   00000297   0000a100   x06_t1     00000000
              77   N   0000a100   00c28293   0000a104   x05_t0     0000a100
              78   N   0000a104   00000363   0000a108   x05_t0     0000a10c
              79   N   0000a108   0000a011   0000a10e   ---        --------
              82   N   0000a10e   07c0006f   0000a114   ---        --------
              85   N   0000a114   00001563   0000a118   x28_t3     00000007
              86   N   0000a118   00c0006f   0000a11c   ---        --------
              87   N   0000a11c   0000a009   0000a128   ---        --------
              90   N   0000a128   301023f3   0000a12c   x28_t3     00000008
              91   N   0000a12c   0043f393   0000a130   x07_t2     40001104
              92   N   0000a130   04038863   0000a134   x07_t2     00000004
              93   N   0000a134   00000001   0000a138   ---        --------
              94   N   0000a138   30127073   0000a13a   ---        --------
              95   N   0000a13a   00000001   0000a13e   ---        --------
              96   N   0000a13e   301023f3   0000a140   ---        --------
              97   N   0000a140   0043f393   0000a144   x07_t2     40001104
              98   N   0000a144   04038263   0000a148   x07_t2     00000004
              99   N   0000a148   00000297   0000a14c   ---        --------
             100   N   0000a14c   03428293   0000a150   x05_t0     0000a14c
             101   N   0000a150   ffe28293   0000a154   x05_t0     0000a180
             102   N   0000a154   34129073   0000a158   x05_t0     0000a17e
             103   N   0000a158   30127073   0000a15c   ---        --------
             104   N   0000a15c   301023f3   0000a160   ---        --------
             105   N   0000a160   0043f393   0000a164   x07_t2     40001104
             106   N   0000a164   00039e63   0000a168   x07_t2     00000004
             107   N   0000a168   000023b7   0000a184   ---        --------
             110   N   0000a184   01c01a63   0000a19c   ---        --------
             113   N   0000a19c   000e0593   0000a1a0   ---        --------
             114   N   0000a1a0   00000513   0000a1a4   x11_a1     00000008
             115   N   0000a1a4   00000073   0000a1a8   x10_a0     00000000
             116   E   0000a1a8   00200513   000008c0   mstatus    00001800
             116   E   0000a1a8   00200513   000008c0   mepc       0000a1a8
             116   E   0000a1a8   00200513   000008c0   mcause     0000000b
             116   E   0000a1a8   00200513   000008c0   mtval      00000000
             119   N   000008c0   00009897   000008c4   x16_a6     f0000000
             120   N   000008c4   7bc88893   000008c8   x17_a7     000098c4
             121   N   000008c8   00088283   000008cc   x17_a7     0000a080
             123   N   000008cc   00028763   000008d0   x05_t0     0000006d
             124   N   000008d0   00582023   000008d4   ---        --------
             126   N   000008d4   00000885   000008d8   ---        --------
             127   N   000008d8   ff3ff06f   000008da   x17_a7     0000a081
             128   N   000008da   08852773   000008cc   ---        --------
             132   N   000008cc   00028763   000008d0   x05_t0     00000069
             133   N   000008d0   00582023   000008d4   ---        --------
             135   N   000008d4   00000885   000008d8   ---        --------
             136   N   000008d8   ff3ff06f   000008da   x17_a7     0000a082
             137   N   000008da   08852773   000008cc   ---        --------
             141   N   000008cc   00028763   000008d0   x05_t0     00000073
             142   N   000008d0   00582023   000008d4   ---        --------
             144   N   000008d4   00000885   000008d8   ---        --------
             145   N   000008d8   ff3ff06f   000008da   x17_a7     0000a083
             146   N   000008da   08852773   000008cc   ---        --------
             150   N   000008cc   00028763   000008d0   x05_t0     00000061
             151   N   000008d0   00582023   000008d4   ---        --------
             153   N   000008d4   00000885   000008d8   ---        --------
             154   N   000008d8   ff3ff06f   000008da   x17_a7     0000a084
             155   N   000008da   08852773   000008cc   ---        --------
             159   N   000008cc   00028763   000008d0   x05_t0     0000006c
             160   N   000008d0   00582023   000008d4   ---        --------
             162   N   000008d4   00000885   000008d8   ---        --------
             163   N   000008d8   ff3ff06f   000008da   x17_a7     0000a085
             164   N   000008da   08852773   000008cc   ---        --------
             168   N   000008cc   00028763   000008d0   x05_t0     00000069
             169   N   000008d0   00582023   000008d4   ---        --------
             171   N   000008d4   00000885   000008d8   ---        --------
             172   N   000008d8   ff3ff06f   000008da   x17_a7     0000a086
             173   N   000008da   08852773   000008cc   ---        --------
             177   N   000008cc   00028763   000008d0   x05_t0     00000067
             178   N   000008d0   00582023   000008d4   ---        --------
             180   N   000008d4   00000885   000008d8   ---        --------
             181   N   000008d8   ff3ff06f   000008da   x17_a7     0000a087
             182   N   000008da   08852773   000008cc   ---        --------
             186   N   000008cc   00028763   000008d0   x05_t0     0000006e
             187   N   000008d0   00582023   000008d4   ---        --------
             189   N   000008d4   00000885   000008d8   ---        --------
             190   N   000008d8   ff3ff06f   000008da   x17_a7     0000a088
             191   N   000008da   08852773   000008cc   ---        --------
             195   N   000008cc   00028763   000008d0   x05_t0     00000065
             196   N   000008d0   00582023   000008d4   ---        --------
             198   N   000008d4   00000885   000008d8   ---        --------
             199   N   000008d8   ff3ff06f   000008da   x17_a7     0000a089
             200   N   000008da   08852773   000008cc   ---        --------
             204   N   000008cc   00028763   000008d0   x05_t0     00000064
             205   N   000008d0   00582023   000008d4   ---        --------
             207   N   000008d4   00000885   000008d8   ---        --------
             208   N   000008d8   ff3ff06f   000008da   x17_a7     0000a08a
             209   N   000008da   08852773   000008cc   ---        --------
             213   N   000008cc   00028763   000008d0   x05_t0     00000021
             214   N   000008d0   00582023   000008d4   ---        --------
             216   N   000008d4   00000885   000008d8   ---        --------
             217   N   000008d8   ff3ff06f   000008da   x17_a7     0000a08b
             218   N   000008da   08852773   000008cc   ---        --------
             222   N   000008cc   00028763   000008d0   x05_t0     00000000
             223   N   000008d0   00582023   000008de   ---        --------
             227   N   000008de   000047a1   000008e2   x14_a4     0000000b
             228   N   000008e2   02f70463   000008e4   x15_a5     00000008
             229   N   000008e4   000047a5   000008e8   ---        --------
             230   N   000008e8   02f70163   000008ea   x15_a5     00000009
             231   N   000008ea   000047ad   000008ee   ---        --------
             232   N   000008ee   00f70e63   000008f0   x15_a5     0000000b
             233   N   000008f0   0000a717   0000090c   ---        --------
             236   N   0000090c   00000013   0000a220   ---        --------
             239   N   0000a220   ed428293   0000a224   x05_t0     00000220
             240   N   0000a224   00008282   0000a228   x05_t0     000000f4
             241   N   0000a228   00000013   000000f4   ---        --------
             244   N   000000f4   0000006f   000000f8   ---        --------
             245   N   000000f8   ffffffff   000000f8   ---        --------
